site,day,date,year,day_of_year,lambda_t,mu_t,sigma2_t,observed_occupancy,admission_count
Site 2,315,2023-11-11,2023,315,2.87445,9.9548,99.09799,28,2.87445
Site 2,316,2023-11-12,2023,316,2.88398,9.96909,99.38269,32,2.88398
Site 2,317,2023-11-13,2023,317,2.89361,9.98324,99.66503,34,2.89361
Site 2,318,2023-11-14,2023,318,2.90333,9.99724,99.9449,29,2.90333
Site 2,319,2023-11-15,2023,319,2.91313,10.0111,100.22222,39,2.91313
Site 2,320,2023-11-16,2023,320,2.92302,10.02481,100.49689,24,2.92302
Site 2,321,2023-11-17,2023,321,2.933,10.03837,100.76881,34,2.933
Site 2,322,2023-11-18,2023,322,2.94305,10.05176,101.03788,31,2.94305
Site 2,323,2023-11-19,2023,323,2.95318,10.06499,101.30403,30,2.95318
Site 2,324,2023-11-20,2023,324,2.96338,10.07805,101.56715,22,2.96338
Site 2,325,2023-11-21,2023,325,2.97365,10.09094,101.82716,38,2.97365
Site 2,326,2023-11-22,2023,326,2.98399,10.10366,102.08396,32,2.98399
Site 2,327,2023-11-23,2023,327,2.99439,10.1162,102.33746,23,2.99439
Site 2,328,2023-11-24,2023,328,3.00485,10.12855,102.58758,40,3.00485
Site 2,329,2023-11-25,2023,329,3.01537,10.14072,102.83423,20,3.01537
Site 2,330,2023-11-26,2023,330,3.02595,10.1527,103.07732,28,3.02595
Site 2,331,2023-11-27,2023,331,3.03657,10.16449,103.31676,33,3.03657
Site 2,332,2023-11-28,2023,332,3.04725,10.17607,103.55248,31,3.04725
Site 2,333,2023-11-29,2023,333,3.05797,10.18746,103.78438,29,3.05797
Site 2,334,2023-11-30,2023,334,3.06873,10.19865,104.01238,30,3.06873
Site 2,335,2023-12-01,2023,335,3.07953,10.20962,104.23641,35,3.07953
Site 2,336,2023-12-02,2023,336,3.09037,10.22039,104.45638,31,3.09037
Site 2,337,2023-12-03,2023,337,3.10124,10.23094,104.67222,30,3.10124
Site 2,338,2023-12-04,2023,338,3.11214,10.24128,104.88384,33,3.11214
Site 2,339,2023-12-05,2023,339,3.12307,10.2514,105.09117,32,3.12307
Site 2,340,2023-12-06,2023,340,3.13401,10.26129,105.29413,43,3.13401
Site 2,341,2023-12-07,2023,341,3.14498,10.27096,105.49266,38,3.14498
Site 2,342,2023-12-08,2023,342,3.15597,10.2804,105.68668,30,3.15597
Site 2,343,2023-12-09,2023,343,3.16696,10.28961,105.87612,33,3.16696
Site 2,344,2023-12-10,2023,344,3.17797,10.29859,106.0609,40,3.17797
Site 2,345,2023-12-11,2023,345,3.18898,10.30733,106.24097,36,3.18898
Site 2,346,2023-12-12,2023,346,3.2,10.31583,106.41626,34,3.2
Site 2,347,2023-12-13,2023,347,3.21102,10.32408,106.5867,29,3.21102
Site 2,348,2023-12-14,2023,348,3.22203,10.3321,106.75223,31,3.22203
Site 2,349,2023-12-15,2023,349,3.23304,10.33986,106.91279,28,3.23304
Site 2,350,2023-12-16,2023,350,3.24403,10.34738,107.06832,37,3.24403
Site 2,351,2023-12-17,2023,351,3.25502,10.35465,107.21876,33,3.25502
Site 2,352,2023-12-18,2023,352,3.26599,10.36166,107.36406,29,3.26599
Site 2,353,2023-12-19,2023,353,3.27693,10.36842,107.50417,39,3.27693
Site 2,354,2023-12-20,2023,354,3.28786,10.37492,107.63902,41,3.28786
Site 2,355,2023-12-21,2023,355,3.29876,10.38116,107.76858,39,3.29876
Site 2,356,2023-12-22,2023,356,3.30963,10.38715,107.89279,35,3.30963
Site 2,357,2023-12-23,2023,357,3.32047,10.39286,108.01161,40,3.32047
Site 2,358,2023-12-24,2023,358,3.33127,10.39832,108.12499,42,3.33127
Site 2,359,2023-12-25,2023,359,3.34203,10.4035,108.23289,36,3.34203
Site 2,360,2023-12-26,2023,360,3.35275,10.40842,108.33527,26,3.35275
Site 2,361,2023-12-27,2023,361,3.36343,10.41307,108.4321,44,3.36343
Site 2,362,2023-12-28,2023,362,3.37405,10.41745,108.52333,34,3.37405
Site 2,363,2023-12-29,2023,363,3.38463,10.42156,108.60893,34,3.38463
Site 2,364,2023-12-30,2023,364,3.39515,10.4254,108.68887,39,3.39515
Site 2,365,2023-12-31,2023,365,3.40561,10.42896,108.76312,39,3.40561
Site 3,1,2023-01-01,2023,1,2.75058,9.17077,84.10303,24,2.75058
Site 3,2,2023-01-02,2023,2,2.75488,9.16491,83.99554,30,2.75488
Site 3,3,2023-01-03,2023,3,2.75907,9.15882,83.88396,32,2.75907
Site 3,4,2023-01-04,2023,4,2.76315,9.15251,83.76835,15,2.76315
Site 3,5,2023-01-05,2023,5,2.76712,9.14597,83.64873,28,2.76712
Site 3,6,2023-01-06,2023,6,2.77099,9.13921,83.52516,27,2.77099
Site 3,7,2023-01-07,2023,7,2.77474,9.13223,83.39769,27,2.77474
Site 3,8,2023-01-08,2023,8,2.77839,9.12504,83.26634,26,2.77839
Site 3,9,2023-01-09,2023,9,2.78192,9.11763,83.13119,25,2.78192
Site 3,10,2023-01-10,2023,10,2.78534,9.11001,82.99227,24,2.78534
Site 3,11,2023-01-11,2023,11,2.78864,9.10218,82.84963,23,2.78864
Site 3,12,2023-01-12,2023,12,2.79183,9.09414,82.70334,21,2.79183
Site 3,13,2023-01-13,2023,13,2.7949,9.08589,82.55343,23,2.7949
Site 3,14,2023-01-14,2023,14,2.79786,9.07744,82.39997,24,2.79786
Site 3,15,2023-01-15,2023,15,2.8007,9.06879,82.24302,30,2.8007
Site 3,16,2023-01-16,2023,16,2.80342,9.05995,82.08262,24,2.80342
Site 3,17,2023-01-17,2023,17,2.80602,9.0509,81.91884,34,2.80602
Site 3,18,2023-01-18,2023,18,2.8085,9.04167,81.75173,23,2.8085
Site 3,19,2023-01-19,2023,19,2.81086,9.03224,81.58136,26,2.81086
Site 3,20,2023-01-20,2023,20,2.81309,9.02263,81.40779,25,2.81309
Site 3,21,2023-01-21,2023,21,2.81521,9.01283,81.23107,33,2.81521
Site 3,22,2023-01-22,2023,22,2.8172,9.00285,81.05128,23,2.8172
Site 3,23,2023-01-23,2023,23,2.81907,8.99269,80.86848,20,2.81907
Site 3,24,2023-01-24,2023,24,2.82081,8.98236,80.68272,9,2.82081
Site 3,25,2023-01-25,2023,25,2.82243,8.97185,80.49409,29,2.82243
Site 3,26,2023-01-26,2023,26,2.82392,8.96117,80.30263,25,2.82392
Site 3,27,2023-01-27,2023,27,2.82529,8.95033,80.10843,27,2.82529
Site 3,28,2023-01-28,2023,28,2.82653,8.93933,79.91155,35,2.82653
Site 3,29,2023-01-29,2023,29,2.82765,8.92816,79.71205,18,2.82765
Site 3,30,2023-01-30,2023,30,2.82864,8.91684,79.51002,26,2.82864
Site 3,31,2023-01-31,2023,31,2.8295,8.90536,79.30551,34,2.8295
Site 3,32,2023-02-01,2023,32,2.83024,8.89374,79.0986,28,2.83024
Site 3,33,2023-02-02,2023,33,2.83084,8.88197,78.88937,27,2.83084
Site 3,34,2023-02-03,2023,34,2.83132,8.87005,78.67788,24,2.83132
Site 3,35,2023-02-04,2023,35,2.83168,8.858,78.4642,28,2.83168
Site 3,36,2023-02-05,2023,36,2.8319,8.84581,78.24841,22,2.8319
Site 3,37,2023-02-06,2023,37,2.832,8.83349,78.03059,26,2.832
Site 3,38,2023-02-07,2023,38,2.83196,8.82104,77.8108,28,2.83196
Site 3,39,2023-02-08,2023,39,2.8318,8.80847,77.58913,31,2.8318
Site 3,40,2023-02-09,2023,40,2.83152,8.79577,77.36564,13,2.83152
Site 3,41,2023-02-10,2023,41,2.8311,8.78296,77.14041,23,2.8311
Site 3,42,2023-02-11,2023,42,2.83056,8.77004,76.91353,23,2.83056
Site 3,43,2023-02-12,2023,43,2.82989,8.757,76.68505,33,2.82989
Site 3,44,2023-02-13,2023,44,2.82909,8.74386,76.45507,16,2.82909
Site 3,45,2023-02-14,2023,45,2.82816,8.73062,76.22365,23,2.82816
Site 3,46,2023-02-15,2023,46,2.82711,8.71727,75.99088,21,2.82711
Site 3,47,2023-02-16,2023,47,2.82593,8.70384,75.75682,30,2.82593
Site 3,48,2023-02-17,2023,48,2.82462,8.69031,75.52156,24,2.82462
Site 3,49,2023-02-18,2023,49,2.82319,8.6767,75.28518,26,2.82319
Site 3,50,2023-02-19,2023,50,2.82164,8.66301,75.04774,29,2.82164
Site 3,51,2023-02-20,2023,51,2.81996,8.64924,74.80933,23,2.81996
Site 3,52,2023-02-21,2023,52,2.81815,8.63539,74.57003,32,2.81815
Site 3,53,2023-02-22,2023,53,2.81622,8.62148,74.3299,20,2.81622
Site 3,54,2023-02-23,2023,54,2.81417,8.6075,74.08903,26,2.81417
Site 3,55,2023-02-24,2023,55,2.81199,8.59346,73.8475,28,2.81199
Site 3,56,2023-02-25,2023,56,2.80969,8.57936,73.60538,30,2.80969
Site 3,57,2023-02-26,2023,57,2.80727,8.56521,73.36274,32,2.80727
Site 3,58,2023-02-27,2023,58,2.80473,8.551,73.11967,13,2.80473
Site 3,59,2023-02-28,2023,59,2.80207,8.53676,72.87624,23,2.80207
Site 3,60,2023-03-01,2023,60,2.79929,8.52247,72.63252,28,2.79929
Site 3,61,2023-03-02,2023,61,2.7964,8.50815,72.38859,22,2.7964
Site 3,62,2023-03-03,2023,62,2.79338,8.49379,72.14453,15,2.79338
Site 3,63,2023-03-04,2023,63,2.79025,8.47941,71.90041,25,2.79025
Site 3,64,2023-03-05,2023,64,2.787,8.465,71.6563,22,2.787
Site 3,65,2023-03-06,2023,65,2.78364,8.45058,71.41229,27,2.78364
Site 3,66,2023-03-07,2023,66,2.78017,8.43614,71.16844,17,2.78017
Site 3,67,2023-03-08,2023,67,2.77658,8.42169,70.92482,32,2.77658
Site 3,68,2023-03-09,2023,68,2.77288,8.40723,70.68151,25,2.77288
Site 3,69,2023-03-10,2023,69,2.76907,8.39277,70.43859,27,2.76907
Site 3,70,2023-03-11,2023,70,2.76515,8.37831,70.19612,22,2.76515
Site 3,71,2023-03-12,2023,71,2.76112,8.36386,69.95418,27,2.76112
Site 3,72,2023-03-13,2023,72,2.75699,8.34942,69.71283,25,2.75699
Site 3,73,2023-03-14,2023,73,2.75274,8.335,69.47215,23,2.75274
Site 3,74,2023-03-15,2023,74,2.7484,8.32059,69.2322,25,2.7484
Site 3,75,2023-03-16,2023,75,2.74395,8.30621,68.99307,32,2.74395
Site 3,76,2023-03-17,2023,76,2.7394,8.29185,68.7548,30,2.7394
Site 3,77,2023-03-18,2023,77,2.73475,8.27753,68.51748,15,2.73475
Site 3,78,2023-03-19,2023,78,2.73,8.26324,68.28117,16,2.73
Site 3,79,2023-03-20,2023,79,2.72515,8.249,68.04594,31,2.72515
Site 3,80,2023-03-21,2023,80,2.72021,8.23479,67.81184,20,2.72021
Site 3,81,2023-03-22,2023,81,2.71517,8.22064,67.57896,15,2.71517
Site 3,82,2023-03-23,2023,82,2.71004,8.20654,67.34735,27,2.71004
Site 3,83,2023-03-24,2023,83,2.70481,8.1925,67.11708,25,2.70481
Site 3,84,2023-03-25,2023,84,2.6995,8.17852,66.88821,26,2.6995
Site 3,85,2023-03-26,2023,85,2.69409,8.16461,66.66079,24,2.69409
Site 3,86,2023-03-27,2023,86,2.6886,8.15076,66.43491,14,2.6886
Site 3,87,2023-03-28,2023,87,2.68303,8.13699,66.21061,21,2.68303
Site 3,88,2023-03-29,2023,88,2.67737,8.1233,65.98795,18,2.67737
Site 3,89,2023-03-30,2023,89,2.67163,8.10969,65.767,29,2.67163
Site 3,90,2023-03-31,2023,90,2.6658,8.09616,65.54781,18,2.6658
Site 3,91,2023-04-01,2023,91,2.6599,8.08273,65.33045,28,2.6599
Site 3,92,2023-04-02,2023,92,2.65392,8.06938,65.11496,21,2.65392
Site 3,93,2023-04-03,2023,93,2.64787,8.05614,64.90141,14,2.64787
Site 3,94,2023-04-04,2023,94,2.64174,8.043,64.68984,26,2.64174
Site 3,95,2023-04-05,2023,95,2.63554,8.02996,64.48033,21,2.63554
Site 3,96,2023-04-06,2023,96,2.62928,8.01704,64.2729,26,2.62928
Site 3,97,2023-04-07,2023,97,2.62294,8.00423,64.06763,24,2.62294
Site 3,98,2023-04-08,2023,98,2.61654,7.99153,63.86457,18,2.61654
Site 3,99,2023-04-09,2023,99,2.61007,7.97896,63.66375,19,2.61007
Site 3,100,2023-04-10,2023,100,2.60354,7.96651,63.46524,25,2.60354
Site 3,101,2023-04-11,2023,101,2.59695,7.95419,63.26909,22,2.59695
Site 3,102,2023-04-12,2023,102,2.5903,7.942,63.07533,18,2.5903
Site 3,103,2023-04-13,2023,103,2.5836,7.92995,62.88403,17,2.5836
Site 3,104,2023-04-14,2023,104,2.57684,7.91803,62.69522,29,2.57684
Site 3,105,2023-04-15,2023,105,2.57003,7.90626,62.50895,21,2.57003
Site 3,106,2023-04-16,2023,106,2.56317,7.89464,62.32527,16,2.56317
Site 3,107,2023-04-17,2023,107,2.55626,7.88316,62.14423,25,2.55626
Site 3,108,2023-04-18,2023,108,2.5493,7.87184,61.96585,15,2.5493
Site 3,109,2023-04-19,2023,109,2.5423,7.86067,61.7902,18,2.5423
Site 3,110,2023-04-20,2023,110,2.53526,7.84967,61.6173,16,2.53526
Site 3,111,2023-04-21,2023,111,2.52818,7.83883,61.4472,25,2.52818
Site 3,112,2023-04-22,2023,112,2.52106,7.82815,61.27994,24,2.52106
Site 3,113,2023-04-23,2023,113,2.5139,7.81764,61.11555,11,2.5139
Site 3,114,2023-04-24,2023,114,2.50671,7.80731,60.95409,20,2.50671
Site 3,115,2023-04-25,2023,115,2.49949,7.79715,60.79557,25,2.49949
Site 3,116,2023-04-26,2023,116,2.49224,7.78717,60.64004,14,2.49224
Site 3,117,2023-04-27,2023,117,2.48496,7.77737,60.48754,23,2.48496
Site 3,118,2023-04-28,2023,118,2.47766,7.76776,60.33809,26,2.47766
Site 3,119,2023-04-29,2023,119,2.47033,7.75833,60.19174,21,2.47033
Site 3,120,2023-04-30,2023,120,2.46299,7.7491,60.04851,20,2.46299
Site 3,121,2023-05-01,2023,121,2.45562,7.74005,59.90844,11,2.45562
Site 3,122,2023-05-02,2023,122,2.44824,7.73121,59.77155,16,2.44824
Site 3,123,2023-05-03,2023,123,2.44084,7.72256,59.63788,20,2.44084
Site 3,124,2023-05-04,2023,124,2.43343,7.71411,59.50746,20,2.43343
Site 3,125,2023-05-05,2023,125,2.42601,7.70586,59.38032,20,2.42601
Site 3,126,2023-05-06,2023,126,2.41859,7.69782,59.25647,18,2.41859
Site 3,127,2023-05-07,2023,127,2.41115,7.68999,59.13596,23,2.41115
Site 3,128,2023-05-08,2023,128,2.40372,7.68237,59.0188,21,2.40372
Site 3,129,2023-05-09,2023,129,2.39628,7.67496,58.90502,19,2.39628
Site 3,130,2023-05-10,2023,130,2.38885,7.66777,58.79465,15,2.38885
Site 3,131,2023-05-11,2023,131,2.38141,7.66079,58.6877,19,2.38141
Site 3,132,2023-05-12,2023,132,2.37399,7.65403,58.5842,18,2.37399
Site 3,133,2023-05-13,2023,133,2.36657,7.64749,58.48418,20,2.36657
Site 3,134,2023-05-14,2023,134,2.35916,7.64118,58.38765,22,2.35916
Site 3,135,2023-05-15,2023,135,2.35176,7.63509,58.29463,10,2.35176
Site 3,136,2023-05-16,2023,136,2.34438,7.62923,58.20515,15,2.34438
Site 3,137,2023-05-17,2023,137,2.33701,7.6236,58.11921,17,2.33701
Site 3,138,2023-05-18,2023,138,2.32967,7.61819,58.03685,19,2.32967
Site 3,139,2023-05-19,2023,139,2.32234,7.61302,57.95807,17,2.32234
Site 3,140,2023-05-20,2023,140,2.31504,7.60808,57.88289,21,2.31504
Site 3,141,2023-05-21,2023,141,2.30776,7.60338,57.81133,25,2.30776
Site 3,142,2023-05-22,2023,142,2.30051,7.59891,57.7434,12,2.30051
Site 3,143,2023-05-23,2023,143,2.29329,7.59468,57.67912,17,2.29329
Site 3,144,2023-05-24,2023,144,2.2861,7.59068,57.61849,20,2.2861
Site 3,145,2023-05-25,2023,145,2.27894,7.58693,57.56154,20,2.27894
Site 3,146,2023-05-26,2023,146,2.27182,7.58342,57.50827,17,2.27182
Site 3,147,2023-05-27,2023,147,2.26474,7.58015,57.45869,20,2.26474
Site 3,148,2023-05-28,2023,148,2.2577,7.57712,57.41282,20,2.2577
Site 3,149,2023-05-29,2023,149,2.2507,7.57434,57.37065,17,2.2507
Site 3,150,2023-05-30,2023,150,2.24374,7.5718,57.33221,16,2.24374
Site 3,151,2023-05-31,2023,151,2.23683,7.56951,57.29749,11,2.23683
Site 3,152,2023-06-01,2023,152,2.22997,7.56746,57.26651,15,2.22997
Site 3,153,2023-06-02,2023,153,2.22316,7.56566,57.23928,18,2.22316
Site 3,154,2023-06-03,2023,154,2.2164,7.56411,57.21578,16,2.2164
Site 3,155,2023-06-04,2023,155,2.2097,7.56281,57.19604,18,2.2097
Site 3,156,2023-06-05,2023,156,2.20305,7.56175,57.18006,14,2.20305
Site 3,157,2023-06-06,2023,157,2.19646,7.56094,57.16783,14,2.19646
Site 3,158,2023-06-07,2023,158,2.18993,7.56038,57.15936,11,2.18993
Site 3,159,2023-06-08,2023,159,2.18346,7.56007,57.15466,25,2.18346
Site 3,160,2023-06-09,2023,160,2.17706,7.56001,57.15372,15,2.17706
Site 3,161,2023-06-10,2023,161,2.17072,7.56019,57.15654,14,2.17072
Site 3,162,2023-06-11,2023,162,2.16446,7.56063,57.16313,18,2.16446
Site 3,163,2023-06-12,2023,163,2.15826,7.56131,57.17347,7,2.15826
Site 3,164,2023-06-13,2023,164,2.15213,7.56225,57.18758,8,2.15213
Site 3,165,2023-06-14,2023,165,2.14608,7.56343,57.20544,18,2.14608
Site 3,166,2023-06-15,2023,166,2.1401,7.56486,57.22706,17,2.1401
Site 3,167,2023-06-16,2023,167,2.1342,7.56653,57.25243,22,2.1342
Site 3,168,2023-06-17,2023,168,2.12837,7.56846,57.28154,19,2.12837
Site 3,169,2023-06-18,2023,169,2.12263,7.57063,57.31439,15,2.12263
Site 3,170,2023-06-19,2023,170,2.11697,7.57304,57.35097,14,2.11697
Site 3,171,2023-06-20,2023,171,2.1114,7.5757,57.39127,21,2.1114
Site 3,172,2023-06-21,2023,172,2.10591,7.57861,57.43529,23,2.10591
Site 3,173,2023-06-22,2023,173,2.1005,7.58176,57.48302,27,2.1005
Site 3,174,2023-06-23,2023,174,2.09519,7.58515,57.53444,16,2.09519
Site 3,175,2023-06-24,2023,175,2.08996,7.58878,57.58956,15,2.08996
Site 3,176,2023-06-25,2023,176,2.08483,7.59265,57.64835,14,2.08483
Site 3,177,2023-06-26,2023,177,2.07979,7.59676,57.7108,15,2.07979
Site 3,178,2023-06-27,2023,178,2.07485,7.60111,57.77691,15,2.07485
Site 3,179,2023-06-28,2023,179,2.07,7.6057,57.84666,7,2.07
Site 3,180,2023-06-29,2023,180,2.06525,7.61052,57.92003,14,2.06525
Site 3,181,2023-06-30,2023,181,2.0606,7.61558,57.99701,16,2.0606
Site 3,182,2023-07-01,2023,182,2.05605,7.62086,58.07758,19,2.05605
Site 3,183,2023-07-02,2023,183,2.0516,7.62638,58.16173,10,2.0516
Site 3,184,2023-07-03,2023,184,2.04726,7.63213,58.24945,17,2.04726
Site 3,185,2023-07-04,2023,185,2.04301,7.63811,58.3407,17,2.04301
Site 3,186,2023-07-05,2023,186,2.03888,7.64431,58.43548,22,2.03888
Site 3,187,2023-07-06,2023,187,2.03485,7.65074,58.53376,16,2.03485
Site 3,188,2023-07-07,2023,188,2.03093,7.65738,58.63552,12,2.03093
Site 3,189,2023-07-08,2023,189,2.02712,7.66425,58.74074,15,2.02712
Site 3,190,2023-07-09,2023,190,2.02342,7.67134,58.84941,10,2.02342
Site 3,191,2023-07-10,2023,191,2.01983,7.67864,58.96149,15,2.01983
Site 3,192,2023-07-11,2023,192,2.01636,7.68615,59.07696,17,2.01636
Site 3,193,2023-07-12,2023,193,2.013,7.69388,59.1958,14,2.013
Site 3,194,2023-07-13,2023,194,2.00975,7.70182,59.31798,16,2.00975
Site 3,195,2023-07-14,2023,195,2.00662,7.70996,59.44348,22,2.00662
Site 3,196,2023-07-15,2023,196,2.0036,7.71831,59.57227,17,2.0036
Site 3,197,2023-07-16,2023,197,2.00071,7.72686,59.70431,14,2.00071
Site 3,198,2023-07-17,2023,198,1.99793,7.73561,59.83959,16,1.99793
Site 3,199,2023-07-18,2023,199,1.99527,7.74455,59.97808,18,1.99527
Site 3,200,2023-07-19,2023,200,1.99273,7.75369,60.11973,12,1.99273
Site 3,201,2023-07-20,2023,201,1.99031,7.76302,60.26453,16,1.99031
Site 3,202,2023-07-21,2023,202,1.98801,7.77254,60.41243,14,1.98801
Site 3,203,2023-07-22,2023,203,1.98583,7.78225,60.56341,15,1.98583
Site 3,204,2023-07-23,2023,204,1.98378,7.79214,60.71743,7,1.98378
Site 3,205,2023-07-24,2023,205,1.98185,7.80221,60.87446,20,1.98185
Site 3,206,2023-07-25,2023,206,1.98004,7.81246,61.03445,16,1.98004
Site 3,207,2023-07-26,2023,207,1.97836,7.82288,61.19738,13,1.97836
Site 3,208,2023-07-27,2023,208,1.97681,7.83347,61.36321,16,1.97681
Site 3,209,2023-07-28,2023,209,1.97538,7.84423,61.5319,5,1.97538
Site 3,210,2023-07-29,2023,210,1.97407,7.85515,61.7034,15,1.97407
Site 3,211,2023-07-30,2023,211,1.97289,7.86624,61.87768,13,1.97289
Site 3,212,2023-07-31,2023,212,1.97184,7.87748,62.0547,19,1.97184
Site 3,213,2023-08-01,2023,213,1.97091,7.88888,62.23442,11,1.97091
Site 3,214,2023-08-02,2023,214,1.97011,7.90043,62.41679,15,1.97011
Site 3,215,2023-08-03,2023,215,1.96944,7.91213,62.60177,9,1.96944
Site 3,216,2023-08-04,2023,216,1.9689,7.92397,62.78931,16,1.9689
Site 3,217,2023-08-05,2023,217,1.96848,7.93595,62.97937,11,1.96848
Site 3,218,2023-08-06,2023,218,1.9682,7.94808,63.17191,18,1.9682
Site 3,219,2023-08-07,2023,219,1.96804,7.96033,63.36687,14,1.96804
Site 3,220,2023-08-08,2023,220,1.968,7.97272,63.56421,11,1.968
Site 3,221,2023-08-09,2023,221,1.9681,7.98523,63.76387,20,1.9681
Site 3,222,2023-08-10,2023,222,1.96832,7.99786,63.96582,22,1.96832
Site 3,223,2023-08-11,2023,223,1.96868,8.01062,64.17,13,1.96868
Site 3,224,2023-08-12,2023,224,1.96916,8.02349,64.37635,15,1.96916
Site 3,225,2023-08-13,2023,225,1.96976,8.03647,64.58483,14,1.96976
Site 3,226,2023-08-14,2023,226,1.9705,8.04956,64.79537,15,1.9705
Site 3,227,2023-08-15,2023,227,1.97136,8.06275,65.00794,19,1.97136
Site 3,228,2023-08-16,2023,228,1.97235,8.07604,65.22247,25,1.97235
Site 3,229,2023-08-17,2023,229,1.97347,8.08943,65.4389,14,1.97347
Site 3,230,2023-08-18,2023,230,1.97471,8.10291,65.65718,15,1.97471
Site 3,231,2023-08-19,2023,231,1.97608,8.11648,65.87726,13,1.97608
Site 3,232,2023-08-20,2023,232,1.97757,8.13013,66.09907,19,1.97757
Site 3,233,2023-08-21,2023,233,1.97919,8.14387,66.32256,18,1.97919
Site 3,234,2023-08-22,2023,234,1.98093,8.15767,66.54766,20,1.98093
Site 3,235,2023-08-23,2023,235,1.9828,8.17156,66.77431,13,1.9828
Site 3,236,2023-08-24,2023,236,1.98479,8.1855,67.00246,17,1.98479
Site 3,237,2023-08-25,2023,237,1.98691,8.19951,67.23204,10,1.98691
Site 3,238,2023-08-26,2023,238,1.98914,8.21359,67.46299,20,1.98914
Site 3,239,2023-08-27,2023,239,1.9915,8.22771,67.69525,19,1.9915
Site 3,240,2023-08-28,2023,240,1.99398,8.24189,67.92874,15,1.99398
Site 3,241,2023-08-29,2023,241,1.99658,8.25611,68.16341,13,1.99658
Site 3,242,2023-08-30,2023,242,1.9993,8.27038,68.3992,9,1.9993
Site 3,243,2023-08-31,2023,243,2.00214,8.28469,68.63602,16,2.00214
Site 3,244,2023-09-01,2023,244,2.0051,8.29903,68.87382,15,2.0051
Site 3,245,2023-09-02,2023,245,2.00817,8.31339,69.11253,16,2.00817
Site 3,246,2023-09-03,2023,246,2.01136,8.32779,69.35208,16,2.01136
Site 3,247,2023-09-04,2023,247,2.01466,8.34221,69.5924,11,2.01466
Site 3,248,2023-09-05,2023,248,2.01808,8.35664,69.83342,13,2.01808
Site 3,249,2023-09-06,2023,249,2.02161,8.37109,70.07508,19,2.02161
Site 3,250,2023-09-07,2023,250,2.02526,8.38554,70.31729,11,2.02526
Site 3,251,2023-09-08,2023,251,2.02901,8.4,70.56,12,2.02901
Site 3,252,2023-09-09,2023,252,2.03288,8.41446,70.80312,12,2.03288
Site 3,253,2023-09-10,2023,253,2.03685,8.42891,71.04659,10,2.03685
Site 3,254,2023-09-11,2023,254,2.04093,8.44336,71.29034,13,2.04093
Site 3,255,2023-09-12,2023,255,2.04512,8.45779,71.53428,22,2.04512
Site 3,256,2023-09-13,2023,256,2.04942,8.47221,71.77835,17,2.04942
Site 3,257,2023-09-14,2023,257,2.05381,8.48661,72.02247,23,2.05381
Site 3,258,2023-09-15,2023,258,2.05831,8.50097,72.26657,21,2.05831
Site 3,259,2023-09-16,2023,259,2.06291,8.51531,72.51058,21,2.06291
Site 3,260,2023-09-17,2023,260,2.06761,8.52962,72.75441,24,2.06761
Site 3,261,2023-09-18,2023,261,2.07241,8.54389,72.99799,18,2.07241
Site 3,262,2023-09-19,2023,262,2.07731,8.55811,73.24125,16,2.07731
Site 3,263,2023-09-20,2023,263,2.0823,8.57229,73.48412,18,2.0823
Site 3,264,2023-09-21,2023,264,2.08739,8.58641,73.72651,20,2.08739
Site 3,265,2023-09-22,2023,265,2.09256,8.60049,73.96834,23,2.09256
Site 3,266,2023-09-23,2023,266,2.09783,8.6145,74.20955,19,2.09783
Site 3,267,2023-09-24,2023,267,2.10319,8.62844,74.45006,22,2.10319
Site 3,268,2023-09-25,2023,268,2.10864,8.64233,74.68979,19,2.10864
Site 3,269,2023-09-26,2023,269,2.11417,8.65613,74.92865,19,2.11417
Site 3,270,2023-09-27,2023,270,2.11979,8.66987,75.16659,17,2.11979
Site 3,271,2023-09-28,2023,271,2.12549,8.68352,75.40351,22,2.12549
Site 3,272,2023-09-29,2023,272,2.13128,8.69709,75.63934,20,2.13128
Site 3,273,2023-09-30,2023,273,2.13714,8.71057,75.87401,15,2.13714
Site 3,274,2023-10-01,2023,274,2.14308,8.72396,76.10743,13,2.14308
Site 3,275,2023-10-02,2023,275,2.14909,8.73725,76.33954,18,2.14909
Site 3,276,2023-10-03,2023,276,2.15518,8.75044,76.57025,15,2.15518
Site 3,277,2023-10-04,2023,277,2.16135,8.76353,76.79948,19,2.16135
Site 3,278,2023-10-05,2023,278,2.16758,8.77651,77.02717,21,2.16758
Site 3,279,2023-10-06,2023,279,2.17388,8.78938,77.25324,27,2.17388
Site 3,280,2023-10-07,2023,280,2.18025,8.80214,77.47761,13,2.18025
Site 3,281,2023-10-08,2023,281,2.18669,8.81477,77.7002,13,2.18669
Site 3,282,2023-10-09,2023,282,2.19319,8.82728,77.92094,13,2.19319
Site 3,283,2023-10-10,2023,283,2.19975,8.83967,78.13975,17,2.19975
Site 3,284,2023-10-11,2023,284,2.20636,8.85192,78.35656,17,2.20636
Site 3,285,2023-10-12,2023,285,2.21304,8.86405,78.57131,12,2.21304
Site 3,286,2023-10-13,2023,286,2.21977,8.87603,78.7839,26,2.21977
Site 3,287,2023-10-14,2023,287,2.22656,8.88787,78.99427,20,2.22656
Site 3,288,2023-10-15,2023,288,2.23339,8.89957,79.20235,15,2.23339
Site 3,289,2023-10-16,2023,289,2.24028,8.91112,79.40807,9,2.24028
Site 3,290,2023-10-17,2023,290,2.24721,8.92252,79.61135,27,2.24721
